Town,District,Province,Latitude,Longitude,Date,Year,Total Deaths
"Tapi Village, near Miram Shah",North Waziristan,FATA,33.003483,70.015182,01/08/2010,2010,8
Ismael Khel in Datta Khel region,North Waziristan,FATA,32.991962,69.730911,01/09/2010,2010,4
Shaktoi village in the Pasalkot region,North Waziristan,FATA,32.669147,70.156975,1/14/2010,2010,18
"Zanini Village, near Mir Ali",North Waziristan,FATA,32.940117,70.296021,1/15/2010,2010,5
"Bichi village, Mirkhwanai area, near Shaktoi",North Waziristan,FATA,32.667992,70.144958,1/15/2010,2010,6
"Nizba Village, Shaktoi region",South Waziristan,FATA,32.659031,70.150452,1/17/2010,2010,20
"Deegan, 18 miles west of Miram Shah",North Waziristan,FATA,32.972958,69.700012,1/19/2010,2010,6
"Muhammad Khel, Datta Khel",North Waziristan,FATA,33.001755,69.713058,1/29/2010,2010,15
"Toor Narai village, Datta Khel, 30km west of Miram Shah",North Waziristan,FATA,32.9989,69.9534,02/02/2010,2010,7
Pai Khel,North Waziristan,FATA,33.0023,69.8696,02/02/2010,2010,7
Muhammad Khel,North Waziristan,FATA,32.5725,69.5306,02/02/2010,2010,7
"Deegan, 18 miles west of Miram Shah",North Waziristan,FATA,32.976414,69.728165,02/02/2010,2010,8
Mir Ali,North Waziristan,FATA,32.963161,70.241776,2/14/2010,2010,9
"Tapi Village, 9 miles east of Miram Shah",North Waziristan,FATA,32.987354,70.280914,2/15/2010,2010,4
"Tabi Tolkhel, 3 miles from Khost border OR Tapi, 9 miles east of Miram Shah",North Waziristan,FATA,32.997723,70.18959,2/17/2010,2010,4
"Dandey Darpa Khel, near Miram Shah",North Waziristan,FATA,33.015572,70.052605,2/18/2010,2010,4
"Dargi Mandi, 2.5 miles north of Miram Shah",North Waziristan,FATA,33.042629,70.061188,2/24/2010,2010,14
Maley Khan Sirai area of Miram Shah,North Waziristan,FATA,33.005783,70.090027,03/08/2010,2010,5
"Mizar Madakhel, 25-31 miles west of Miram Shah",North Waziristan,FATA,32.997147,69.616241,03/10/2010,2010,21
"Datta Khel, 12 miles west of Miram Shah",North Waziristan,FATA,32.991386,69.742584,3/16/2010,2010,11
"Mada Khel, 25 miles west of Miram Shah",North Waziristan,FATA,32.995995,69.625854,3/17/2010,2010,6
"Hamzoni, 6 miles west of Miram Shah",North Waziristan,FATA,33.013271,69.938965,3/17/2010,2010,5
Lowari Mandi area of Datta Khel,North Waziristan,FATA,32.995995,69.682159,3/21/2010,2010,8
"Machis, outskirts of Miram Shah",North Waziristan,FATA,32.985626,70.054321,3/23/2010,2010,6
"Hurmaz, near Mir Ali",North Waziristan,FATA,32.96777,70.253448,3/28/2010,2010,4
"Tapi Village, 13 miles east of Miram Shah",North Waziristan,FATA,32.997147,70.302887,3/31/2010,2010,6
"Boya village, 12 miles west of Miram Shah",North Waziristan,FATA,33.024784,69.823608,04/12/2010,2010,13
"Ambur Shaga Village, 15 miles west of Miram Shah",North Waziristan,FATA,33.004059,69.752197,4/14/2010,2010,5
"Toorkhel, suburbs of Miram Shah",North Waziristan,FATA,32.998299,70.119553,4/16/2010,2010,6
"Machi Khel, 12 miles east of Miram Shah",North Waziristan,FATA,32.978718,70.327606,4/24/2010,2010,8
"Khushali Toorkhel, 15 miles east of Miram Shah",North Waziristan,FATA,32.972958,70.350952,4/26/2010,2010,6
"Marsi Khel, near Mir Ali",North Waziristan,FATA,32.990234,70.315933,05/03/2010,2010,6
"Inzarkas village, Datta Khel",North Waziristan,FATA,32.997147,69.672546,05/09/2010,2010,10
"Gorwek, near Afghan border",North Waziristan,FATA,32.994267,69.558563,05/11/2010,2010,10
"Doga area, Datta Khel",North Waziristan,FATA,32.995995,69.704819,05/11/2010,2010,14
"Ragha area, Tirah Valley",Khyber,Khyber Pakhtunkhwa,33.881817,70.85907,5/15/2010,2010,15
Asadabad village of Muhammad Khel area of Datta Khel,North Waziristan,FATA,32.989082,69.716492,5/21/2010,2010,12
"Mizai Nari, 38 km west of Wana",South Waziristan,FATA,32.292938,69.304504,5/28/2010,2010,12
"Khaddi village, nine miles east of Miram Shah",North Waziristan,FATA,32.97987,70.287094,06/10/2010,2010,3
"Datta Khel, 12 miles west of Miram Shah",North Waziristan,FATA,32.997147,69.656754,06/11/2010,2010,9
"Sokhel village, 16 miles east of Miram Shah",North Waziristan,FATA,32.981022,70.293274,6/19/2010,2010,16
"Khushali Khel, Mir Ali,",North Waziristan,FATA,32.974686,70.278168,6/26/2010,2010,3
"Tabbi Tolkhel, 4 km north of Miram Shah",North Waziristan,FATA,33.021908,70.072174,6/27/2010,2010,6
"Lamal village, near Karikot, 6 miles SW of Wana",South Waziristan,FATA,32.234295,69.530411,6/29/2010,2010,10
"Sheerani, Mada Khel",North Waziristan,FATA,32.995419,69.77211,7/15/2010,2010,14
"Dwasarak village, 25 miles west of Wana, near Angoor Adda",South Waziristan,FATA,32.45068,69.277039,7/24/2010,2010,18
Landikhel area of Sararogha,South Waziristan,FATA,32.49297,70.037155,7/25/2010,2010,4
"Tabbi Tolkhel, 4 km north of Miram Shah",North Waziristan,FATA,33.027664,70.069427,7/25/2010,2010,7
Shaktoi village in the Pasalkot region,South Waziristan,FATA,32.66597,70.161438,7/25/2010,2010,14
"Issori, 13 miles east of Miram Shah",North Waziristan,FATA,32.990234,70.31868,8/14/2010,2010,14
"Kutabkhel village, 3 km south of Miram Shah",North Waziristan,FATA,32.983898,70.059128,8/21/2010,2010,6
Derga Mandy,North Waziristan,FATA,33.0155,70.056,8/23/2010,2010,5
Danday Darpa Khel,North Waziristan,FATA,33.028816,70.046082,8/23/2010,2010,20
"Shahidano village, 62 miles southwest of Peshawar",Kurram,FATA,33.680923,70.41687,8/27/2010,2010,4
"Datta Khel, 12 miles west of Miram Shah",North Waziristan,FATA,32.994267,69.777603,09/03/2010,2010,7
Machis Factory area on outskirts of Miram Shah,North Waziristan,FATA,33.018452,70.098953,09/03/2010,2010,25
Datta Khel,North Waziristan,FATA,32.983898,69.751511,09/04/2010,2010,8
near Miramshah,North Waziristan,FATA,33.0047,70.0675,09/04/2010,2010,6
"Khar Qamar, a village in Datta Khel",North Waziristan,FATA,32.977566,69.711685,09/06/2010,2010,6
"Ambor Shaga on Dattakhel Road, near the border",North Waziristan,FATA,32.996571,69.526291,09/08/2010,2010,4
Dargha Mandi at Ghulam Khan Road area,North Waziristan,FATA,32.995419,70.015182,09/08/2010,2010,6
Danday Darpakhel,North Waziristan,FATA,33.027664,70.017242,09/08/2010,2010,10
Outskirts of Miram Shah,North Waziristan,FATA,33.008087,70.061874,09/09/2010,2010,6
Datta Khel,North Waziristan,FATA,32.986202,69.685593,09/12/2010,2010,6
"Bushnarai village, Shawal",North Waziristan,FATA,33.021908,69.656754,9/14/2010,2010,12
"Qutabkhel village, a southern suburb of Miranshah",North Waziristan,FATA,32.98505,70.076981,9/14/2010,2010,4
Payekhel village of Dattakhel district,North Waziristan,FATA,33.008663,69.76181,9/15/2010,2010,7
"Dargah Mandi, outskirts of Miram Shah",North Waziristan,FATA,33.02018,70.029602,9/15/2010,2010,14
"Deghan, Datta Khel,",North Waziristan,FATA,32.974972,69.686279,9/19/2010,2010,5
